QId,QTitle,QBody,GId,GBody,QScore,GScore,QTags
183,Cutting boards: What are some general tips on purchasing and using a cutting board?,"<p>I have heard various debates on the merits of wood versus synthetic cutting boards, and their affect on food safety, knife edges, and ease of cleaning and storage.</p>

<p>What are the pros and cons of the following and why?</p>

<ul>
<li>Wood versus plastic or other materials</li>
<li>Affect on food safety and cleanliness</li>
<li>Cost to purchase</li>
<li>Affect on knife edge and ease of use</li>
</ul>
",202,"<p>I use two types of cutting boards: wood and [soft] plastic. The plastic is for meat, or anything that could ruin a wood cutting board. Wood is for everything else. If you can afford it, try to get an end-grain wood cutting board.</p>

<p>Bamboo is a popular choice right now (it's affordable and sustainable), but I don't have any personal experience with it.</p>

<p>Most other materials, especially glass, will ruin your knives.</p>
",23,11,<equipment><knives><cutting><chopping><cutting-boards>
183,Cutting boards: What are some general tips on purchasing and using a cutting board?,"<p>I have heard various debates on the merits of wood versus synthetic cutting boards, and their affect on food safety, knife edges, and ease of cleaning and storage.</p>

<p>What are the pros and cons of the following and why?</p>

<ul>
<li>Wood versus plastic or other materials</li>
<li>Affect on food safety and cleanliness</li>
<li>Cost to purchase</li>
<li>Affect on knife edge and ease of use</li>
</ul>
",205,"<p>Don't use a glass board. It dulls the edge of the knife and the food you are trying to cut is more likely to slip than on a wood/plastic board.</p>
",23,7,<equipment><knives><cutting><chopping><cutting-boards>
183,Cutting boards: What are some general tips on purchasing and using a cutting board?,"<p>I have heard various debates on the merits of wood versus synthetic cutting boards, and their affect on food safety, knife edges, and ease of cleaning and storage.</p>

<p>What are the pros and cons of the following and why?</p>

<ul>
<li>Wood versus plastic or other materials</li>
<li>Affect on food safety and cleanliness</li>
<li>Cost to purchase</li>
<li>Affect on knife edge and ease of use</li>
</ul>
",685,"<p>Besides the material itself, there are lots of other factors -- </p>

<p><strong>Surface</strong> : There are smooth plastic cutting boards, and there are rougher ones.  I prefer the rougher ones, as smooth means things are slipping all over the place and its can be dangerous.  Plastic will roughen up with use, but cuts and nicks in plastic boards means more places for germs.  For those thin plastic cutting mats, they're so lightweight that you have to worry about both the food sliding, and the mat itself sliding.</p>

<p><strong>Thickness</strong> : Those 'butcher block' wooden boards look great, but I don't like them for two reasons: I'm short, and it raises the surface that I'm cutting at; they're heavier, and I like being able to pick up my cutting board to take to my stove, as my cutting area is near my sink, not my stove.</p>

<p><strong>Size</strong> : Large enough to hold the amount of food you tend to prep at one time, and not so overly large that it's a pain to move / clean / etc.  I like about 18"" x 24"" (45cm x 60cm), but if you're cooking for one in a small apartment, that might be a little large.  (although, one of my apartments was small enough that I used a large board, so I could span the sink, as there was all of maybe 30"" (75cm) of counter space.</p>

<p>All this being said -- I use wood for all vegetables, and plastic cutting mats for meats and poultry, just because it saves me time sanitizing everything between cutting.  (although, I typically try to cut all of the vegetables first, then the meat, just to save on cleaning a knife).</p>

<p>Part of the complaint against wood is that it's very hard to get germs out once they get into wood -- but <a href=""http://faculty.vetmed.ucdavis.edu/faculty/docliver/Research/cuttingboard.htm"">research has shown</a> that if you clean the surface, wood cutting boards are unlikely to transfer germs to other food, and a well-maintained wooden cutting board will self-heal and continues to be safe over time, whereas plastic can't be simply wiped down once it starts developed scratches from use.  To sanitize wood boards, use half a lemon, and coarse salt (I use kosher salt), and use the cut side to scrub the board.  Rinse, let it dry, and give it some food-grade mineral oil every few months, depending on how humid your area is.  If it's looking sad, you can always sand it down, re-sanitize it and re-oil it.</p>
",23,14,<equipment><knives><cutting><chopping><cutting-boards>
183,Cutting boards: What are some general tips on purchasing and using a cutting board?,"<p>I have heard various debates on the merits of wood versus synthetic cutting boards, and their affect on food safety, knife edges, and ease of cleaning and storage.</p>

<p>What are the pros and cons of the following and why?</p>

<ul>
<li>Wood versus plastic or other materials</li>
<li>Affect on food safety and cleanliness</li>
<li>Cost to purchase</li>
<li>Affect on knife edge and ease of use</li>
</ul>
",15409,"<p>How about something on the edge of the board (like a soft rubber ""fence"" maybe .5"" tall) that keeps the food from falling off.  I realize this is tricky b/c you don't want the ""fence"" to interfere w/ the cutting. But it drives me nuts that food is always falling off the edge (just a tiny amount but enough to make a mess).</p>
",23,1,<equipment><knives><cutting><chopping><cutting-boards>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",186,"<p>To me, the following are necessary:</p>

<ul>
<li>A chef's knife (8 inch)</li>
<li>A paring knife</li>
<li>A bread knife</li>
</ul>

<p>There are tasks for which other knives are more suitable, but these are the three I started with, and there's little you may need others for.</p>
",94,18,<equipment><knives>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",188,"<ul>
<li>Chef's </li>
<li>Carving </li>
<li>Serrated/bread knife</li>
<li>Paring </li>
<li>Filet</li>
</ul>

<p>There are plenty more you could use (I love my Santoku), but that will enable you to do just about anything.</p>
",94,5,<equipment><knives>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",189,"<p>There are three core essentials:</p>

<ul>
<li>Chef's knife
<ul>
<li>8"" or 10"" depending on your preferences</li>
</ul></li>
<li>Paring knife
<ul>
<li>3"" or 4"" depending on your preferences</li>
</ul></li>
<li>Bread knife
<ul>
<li>As long as possible, 12""+</li>
<li>Feel free to go cheap here, it's serrated and thus largely unsharpenable</li>
</ul></li>
</ul>

<p>You may want to check out Alton Brown's book, <a href=""http://rads.stackoverflow.com/amzn/click/1584796960"">Alton Brown's Gear For Your Kitchen</a>. He spends a chapter on knives and where to go past the essentials. He also suggests which ones are worth spending money on and which should be throwaways.</p>
",94,91,<equipment><knives>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",199,"<p>I use three:</p>

<ul>
<li>Chef's knife - sharp, straight blade</li>
<li>Bread knife</li>
<li>Sometimes a serrated knife for tough vegetables</li>
</ul>

<p>But then I'm a vegetarian, so I don't need to cut meat.</p>
",94,4,<equipment><knives>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",206,"<p>I've got a 6"" chef's knife that I find more useful than my 8"" chef</p>

<p>I also love my 8"" Santoku</p>
",94,0,<equipment><knives>
184,"What knives are ""required"" for a serious home kitchen?","<p>I consider myself a serious home cook. What knives are essential?</p>
",259,"<p>If you could only buy one knife, I would get a French Chef's knife or a Japanese Santoku, probably in the 8 inch size. These knives are both used differently (different techniques) so I would also research how to properly hold and use whichever one you go with.</p>
",94,4,<equipment><knives>
